date,city,AWND,PRCP,SNOW,TAVG,TMAX,TMIN
2020/1/1,Atlanta,7.2,0,0,45,57,36
2020/1/1,Boston,15.4,0,0,39,43,36
2020/1/1,Chicago,11.9,0,0,28,42,21
2020/1/1,Honolulu,6.3,0,,76,81,68
2020/1/1,Houston,6.5,0.1,0,52,60,47
2020/1/1,LA,5.6,0,,61,67,50
2020/1/1,Miami,4.3,0,,70,82,61
2020/1/1,NYC,15.9,0,0,40,42,35
2020/1/1,Phoenix,3.8,0,,50,60,40
2020/1/1,SF,14.3,0,,53,59,47
2020/1/1,Seattle,14.3,0,0,51,53,46
2020/1/2,Atlanta,6.7,0.92,0,47,50,46
2020/1/2,Boston,12.5,0,0,40,49,34
2020/1/2,Chicago,11.6,0,0,42,48,37
2020/1/2,Honolulu,7.2,0.01,,75,82,68
2020/1/2,Houston,3.6,0.21,0,60,65,59
2020/1/2,LA,4.7,0,,58,65,52
2020/1/2,Miami,7.4,0,,72,81,63
2020/1/2,NYC,8.1,0,0,40,49,34
2020/1/2,Phoenix,3.8,0,,51,64,41
2020/1/2,SF,5.8,0,,54,61,49
2020/1/2,Seattle,9.2,0.21,0,45,50,41
2020/1/3,Atlanta,5.8,0.97,0,56,63,50
2020/1/3,Boston,7.2,0,0,47,52,44
2020/1/3,Chicago,6,0,0,38,41,33
2020/1/3,Honolulu,12.5,0.15,,75,82,70
2020/1/3,Houston,6,0,0,61,69,52
2020/1/3,LA,4.5,0,,60,72,52
2020/1/3,Miami,9.6,0,,78,84,75
2020/1/3,NYC,4.7,0.14,0,47,49,45
2020/1/3,Phoenix,2.7,0,,52,64,41
2020/1/3,SF,3.6,0,,52,58,44
2020/1/3,Seattle,9.6,0.39,0,48,62,46
2020/1/4,Atlanta,14.5,0.14,0,56,59,37
2020/1/4,Boston,5.4,0.13,0,47,48,40
2020/1/4,Chicago,9.2,0.03,0.5,32,33,26
2020/1/4,Honolulu,11.6,0,,76,84,73
2020/1/4,Houston,5.1,0,0,55,69,40
2020/1/4,LA,4.9,0,,59,67,49
2020/1/4,Miami,10.5,0.06,,79,87,69
2020/1/4,NYC,8.5,0.24,0,47,50,41
2020/1/4,Phoenix,3.4,0,,53,68,41
2020/1/4,SF,9.2,0,,54,59,49
2020/1/4,Seattle,14.1,0.1,0,47,46,40
2020/1/5,Atlanta,8.3,0,0,41,55,32
2020/1/5,Boston,16.6,0.11,0,39,41,32
2020/1/5,Chicago,13.9,0,0,31,42,24
2020/1/5,Honolulu,11.4,0,,77,82,73
2020/1/5,Houston,5.6,0,0,55,74,40
2020/1/5,LA,4.5,0,,58,68,49
2020/1/5,Miami,9.6,0,,67,72,58
2020/1/5,NYC,20.1,0,0,40,41,36
2020/1/5,Phoenix,3.1,0,,54,70,42
2020/1/5,SF,8.1,0,,52,59,44
2020/1/5,Seattle,14.3,0.14,0,44,48,42
2020/1/6,Atlanta,5.8,0,0,48,63,38
2020/1/6,Boston,6.7,0,0,33,41,27
2020/1/6,Chicago,9.6,0,0,34,42,27
2020/1/6,Honolulu,13.4,0,,77,83,74
2020/1/6,Houston,4.9,0,0,60,75,45
2020/1/6,LA,5.6,0,,61,79,47
2020/1/6,Miami,6,0,,64,75,56
2020/1/6,NYC,12.8,0.02,0.7,37,44,32
2020/1/6,Phoenix,3.6,0,,55,71,41
2020/1/6,SF,3.6,0,,51,59,42
2020/1/6,Seattle,16.3,1.19,0,45,51,41
2020/1/7,Atlanta,12.8,0.02,0,53,57,43
2020/1/7,Boston,9.2,0,0,38,42,33
2020/1/7,Chicago,10.7,0,0,34,40,28
2020/1/7,Honolulu,20.6,0,,78,82,72
2020/1/7,Houston,5.8,0,0,60,68,41
2020/1/7,LA,7.8,0,,66,79,55
2020/1/7,Miami,3.4,0,,70,79,61
2020/1/7,NYC,8.7,0,0,41,44,35
2020/1/7,Phoenix,4.3,0,,58,73,43
2020/1/7,SF,6.9,0.03,,50,56,41
2020/1/7,Seattle,15,0.28,0,51,55,46
2020/1/8,Atlanta,6.7,0,0,47,61,36
2020/1/8,Boston,14.1,0.02,0.1,38,45,29
2020/1/8,Chicago,11.2,0,0,24,29,14
2020/1/8,Honolulu,15.7,0,,75,82,71
2020/1/8,Houston,9.6,0,0,49,68,35
2020/1/8,LA,5.8,0,,58,64,50
2020/1/8,Miami,7.4,0,,69,78,61
2020/1/8,NYC,17.9,0,0,36,43,28
2020/1/8,Phoenix,5.6,0,,57,68,45
2020/1/8,SF,9.2,0,,53,58,48
2020/1/8,Seattle,12.1,0.04,0,45,45,33
2020/1/10,Atlanta,10.3,0,0,58,66,50
2020/1/10,Boston,13.9,0,0,38,53,29
2020/1/10,Chicago,11.4,0.84,0,46,50,36
2020/1/10,Honolulu,17.2,0.19,,75,82,71
2020/1/10,Houston,18.1,0.19,0,73,76,70
2020/1/10,LA,4.9,0,,57,66,46
2020/1/10,Miami,21.3,0,,77,81,74
2020/1/10,NYC,9.4,0,0,40,53,33
2020/1/10,Phoenix,5.8,0,,53,64,43
2020/1/10,SF,5.4,0,,49,56,41
2020/1/10,Seattle,13,0.5,0,38,44,35
2020/1/11,Atlanta,14.3,1.28,0,65,70,60
2020/1/11,Boston,18.1,0,0,57,70,49
2020/1/11,Chicago,25.1,0.37,2.1,34,37,25
2020/1/11,Honolulu,13.9,0.06,,76,81,73
2020/1/11,Houston,10.5,0.92,0,61,69,39
2020/1/11,LA,5.1,0,,56,63,48
2020/1/11,Miami,16.6,0.02,,78,83,75
2020/1/11,NYC,10.3,0,0,55,66,48
2020/1/11,Phoenix,4.9,0,,51,63,40
2020/1/11,SF,10.5,0.03,,52,56,47
2020/1/11,Seattle,14.5,0.09,0,44,46,39
2020/1/12,Atlanta,4.3,0,0,60,69,49
2020/1/12,Boston,20.8,0.02,0,66,74,40
2020/1/12,Chicago,6.5,0,0,26,31,23
2020/1/12,Honolulu,10.3,0.56,,76,77,72
